UMAP1,UMAP2,cluster,kecamata,year,month
15.007676,0.4830083,1,Cihampelas,2022,4
2.5395842,15.215588,7,Gununghalu,2022,4
6.489409,8.078215,0,Saguling,2022,4
5.2408977,17.28194,7,Rongga,2022,4
2.628718,8.734439,0,Sindangkerta,2022,4
18.71253,11.574083,3,Cimahi Tengah,2022,4
3.3013954,-6.0536356,6,Cimahi Utara,2022,4
19.94941,1.0971758,1,Cimahi Selatan,2022,4
16.162601,13.289922,3,Panyileukan,2022,5
16.027166,13.161961,3,Cinambo,2022,5
4.964944,-6.4718747,6,Ujungberung,2022,5
16.489298,-3.5971067,1,Gedebage,2022,5
11.023001,5.069753,4,Mandalajati,2022,5
6.02252,-6.1141086,6,Coblong,2022,5
14.555749,11.04084,3,Babakan Ciparay,2022,5
5.8565717,-5.8228874,6,Sukasari,2022,5
18.491308,0.69152063,1,Cicendo,2022,5
7.3350244,-6.671337,6,Sukajadi,2022,5
7.875919,12.463335,7,Bojongloa Kaler,2022,5
17.348877,8.640162,3,Andir,2022,5
3.3495104,-3.1121974,6,Cidadap,2022,5
6.406634,-2.7941291,4,Bandung Wetan,2022,5
13.936437,9.486747,3,Astana Anyar,2022,5
15.201595,12.232947,3,Lengkong,2022,5
19.775633,2.858109,1,Cibeunying Kidul,2022,5
14.630128,11.088993,3,Regol,2022,5
13.860479,9.400945,3,Batununggal,2022,5
15.170175,12.294794,3,Bojongloa Kidul,2022,5
6.1994047,-6.0526347,6,Cibeunying Kaler,2022,5
14.357482,10.659214,3,Bandung Kulon,2022,5
13.93727,9.940448,3,Kiaracondong,2022,5
18.251299,0.53154415,1,Sumur Bandung,2022,5
13.890344,9.366096,3,Antapani,2022,5
15.903652,13.095907,3,Bandung Kidul,2022,5
16.389858,13.04989,3,Arcamanik,2022,5
4.6816506,-6.6164193,6,Cibiru,2022,5
15.141285,12.462213,3,Buahbatu,2022,5
15.227348,12.550729,3,Rancasari,2022,5
-5.7279363,7.961025,5,Rancabali,2022,5
0.46118003,-1.8881531,2,Kutawaringin,2022,5
2.439174,-2.3477674,2,Cangkuang,2022,5
1.3373888,0.14476615,2,Cimenyan,2022,5
1.2686429,1.1011035,2,Cilengkrang,2022,5
16.780401,0.38805267,1,Cileunyi,2022,5
16.608038,-3.6869345,1,Bojongsoang,2022,5
16.519373,-2.8700197,1,Margahayu,2022,5
1.0703276,1.7330126,2,Cimaung,2022,5
-5.325809,7.5942445,5,Pangalengan,2022,5
0.7997009,-1.5778886,2,Arjasari,2022,5
17.601837,0.51372665,1,Margaasih,2022,5
2.1946375,-3.0386524,2,Banjaran,2022,5
7.5957513,-2.4583864,4,Pameungpeuk,2022,5
7.7554665,-2.4394555,4,Katapang,2022,5
15.866879,12.956168,3,Dayeuhkolot,2022,5
16.417025,-3.5181794,1,Rancaekek,2022,5
2.9259808,-2.3122165,2,Ciparay,2022,5
2.0363917,-2.0871367,2,Nagreg,2022,5
2.0603309,-2.1324458,2,Cikancung,2022,5
1.9987607,-2.4371853,2,Cicalengka,2022,5
-0.6122825,1.1019415,2,Ciwidey,2022,5
2.324929,-2.4466598,2,Soreang,2022,5
-6.803397,6.5852075,5,Pasirjambu,2022,5
-1.2082163,7.1977506,0,Kertasari,2022,5
16.109585,1.0374628,1,Baleendah,2022,5
1.2422118,3.909093,0,Pacet,2022,5
1.7991521,-2.053408,2,Paseh,2022,5
0.8974393,2.2922485,2,Ibun,2022,5
6.535969,-2.0804381,4,Majalaya,2022,5
8.10848,-2.57895,4,Solokanjeruk,2022,5
6.1087594,9.412538,0,Padalarang,2022,5
16.565845,1.1965278,1,Batujajar,2022,5
2.8075833,-2.5778105,2,Ngamprah,2022,5
4.2756414,16.210653,7,Cipatat,2022,5
1.2944496,3.9087687,0,Lembang,2022,5
3.1429586,17.087708,7,Cikalongwetan,2022,5
1.8895698,19.348873,7,Cipeundeuy,2022,5
1.3580217,4.135685,0,Parongpong,2022,5
4.230498,10.133963,0,Cisarua,2022,5
4.0246134,8.362709,0,Cililin,2022,5
5.0666733,16.480537,7,Cipongkor,2022,5
16.173986,1.3446887,1,Cihampelas,2022,5
2.3941512,15.529039,7,Gununghalu,2022,5
6.2916913,9.258604,0,Saguling,2022,5
5.031852,17.366472,7,Rongga,2022,5
2.687564,9.276027,0,Sindangkerta,2022,5
15.16809,11.608171,3,Cimahi Tengah,2022,5
5.711682,-6.0103607,6,Cimahi Utara,2022,5
18.687666,0.56512856,1,Cimahi Selatan,2022,5
18.345444,14.567837,3,Panyileukan,2022,6
18.392178,14.5901785,3,Cinambo,2022,6
4.1670623,-8.37035,6,Ujungberung,2022,6
14.331027,-3.9586227,1,Gedebage,2022,6
10.159533,5.178888,4,Mandalajati,2022,6
4.608811,-7.7137957,6,Coblong,2022,6
14.223224,10.330937,3,Babakan Ciparay,2022,6
